id	topic0	topic1	topic2	topic3	topic4	topic5	topic6	topic7	topic8	topic9	topic10	topic11	topic12	topic13	topic14	topic15	topic16	topic17	topic18	topic19	topic20	topic21	topic22	topic23	topic24	topic25	topic26	topic27	topic28	topic29	topic30	topic31	topic32	topic33	topic34	topic35	topic36	topic37	topic38	topic39	topic40	topic41	topic42	topic43	topic44	topic45	topic46	topic47	topic48	topic49
9106283	0.001365247010336899	0.0010594317217717665	0.07479740656321668	0.00029694041540647694	0.27223039579543706	0.0006258834746361269	0.0009922845001826097	0.029758041842076963	0.0007598055621633013	0.0010441527060045337	0.0009528575379127007	0.0010634897184115793	0.05974882890994324	0.0016359556330067437	0.0010205766587051113	0.0005421748820948236	0.0003716565496115839	0.00047727852346617663	0.0005430690861423599	0.10050580460140418	0.0007886155475939718	0.0004223735130551979	0.00017713455185471832	0.0011524388748241552	0.0008511264228005427	0.05082291881160942	0.002626007496192788	0.001086278886297403	0.0007916495708738415	0.001714872363639765	0.0011736407849950222	0.0010602894547195147	0.00028472889978683325	0.000428931444939711	0.000795678204767064	0.0008808417033258934	0.0008360676825067152	0.0010317867676667355	0.0007134619550759692	0.00039822902610409555	0.0004892113815168063	0.001310109024715835	0.0005668691613601255	0.0003567788511844149	0.07502649326984791	0.0017526299055913741	0.00108226402385285	0.0005172708389278254	0.2998786223306966	0.0011913975577459786
9177231	0.000722802532563242	0.0005608947873729486	0.00038580203772362525	0.0001572091223427906	0.00034157936137290524	0.43168732372781904	0.00052534504329605	0.3163968302546193	0.00040226375185524097	0.0005528056202053866	0.000504471232209708	0.0005630432119629179	0.0054900284862231365	0.0008661237605688511	0.0005403237568013068	0.00028704357153187316	0.000196766074760844	0.0002526855015154127	0.0002875169898549267	0.0009252027955446875	0.0004175166183876204	0.00022361714957983624	9.378032086182765e-05	0.0006101355513253812	0.00045061174225161956	0.0007643851589285114	0.22360396434204063	0.0005751084779097868	0.00041912292090572994	0.0009079046341626215	0.0006213604756435817	0.0005613488968067736	0.00015074398134670377	0.00022708911453461292	0.0004212557999809038	0.0004663438990385812	0.000442639195496945	0.0005462587232113578	0.00037772806247653043	0.0002108343372509593	0.00025900311287394955	0.0006936108365949746	0.00030011746032828924	0.00018888937697615795	0.0005070873805779987	0.0009278946042847691	0.0005729828898507439	0.00027385862746250023	0.001907983247423535	0.0006307614413423632
9185551	0.0012425362895726812	0.0009642081987061424	0.13548576279118682	0.0002702509063852754	0.0005871932279619682	0.0005696280045962695	0.0009030962834726369	0.004612913748695411	0.0006915129473706764	0.0009503024868342263	0.02333763781899181	0.000967901455713669	0.05437850265773792	0.0014889131613187805	0.0009288454947204068	0.0004934432825686008	0.00033825142750966794	0.00043437991890862935	0.000494257114037144	0.0015904731885783522	0.0007177334423643514	0.00038440986411380357	0.29227673495806267	0.0010488557108284475	0.02324505046934117	0.001314019052771312	0.02486040221643737	0.0009886422944724463	0.1804838926459664	0.0015607367221275776	0.0010681519572923468	0.0009649888371593087	0.0002591369825361789	0.00039037835793899245	0.0007241612959116828	0.000801670154532222	0.0007609204987727246	0.0009390480200432383	0.11300145845960419	0.0003624355246699431	0.00044524023140443783	0.11354447787695622	0.0005159179980593954	0.00032471096189347587	0.0008717103828041552	0.001595100552060712	0.000984988294685427	0.000470777657111971	0.00327992545407005	0.0010843127211407249
9256495	0.08019947820120515	0.0005683235679660894	0.00039091179940292176	0.0001592912812492671	0.0003461034150598176	0.0003357501216230776	0.0005323029846964672	0.0027189434853347343	0.00040759154098856954	0.0005601272636857892	0.013755669793087892	0.0005705004474022421	0.1247633950095228	0.0008775951515117193	0.0005474800840286261	0.0002908453250185996	0.0001993721463993738	0.0002560321989568664	0.26518166667404447	0.040671007908851406	0.0004230464243723022	0.0002265788507375038	9.502239592353372e-05	0.0006182165020578713	0.0004565798771696829	0.04050806032029981	0.0676312858712975	0.0005827255119700556	0.10638081066579386	0.0009199293925995461	0.1992973463404573	0.0005687836918600684	0.00015274051258281344	0.00023009680019143568	0.00042683512962007436	0.0004725203987759623	0.0004485017378833208	0.0005534936562026822	0.00038273088825273885	0.00021362673623236795	0.00026243348402696533	0.0007027973771692282	0.0003040923711585214	0.00019139112555632067	0.0005138035080526506	0.0009401841202224657	0.0005805717715236532	0.0002774857527322612	0.041666804813214026	0.0006391155720275358
9288642	0.0011890972490948798	0.0009227395016611604	0.022138706823185514	0.00025862794676093163	0.0005619392028355535	0.0005451294251580963	0.0008642558896323544	0.21945468130485707	0.0006617723364158254	0.0009094318470901314	0.10834999590461737	0.0009262739189531983	0.11655183824588461	0.1304489738753728	0.0008888976779793298	0.0004722212580917534	0.0003237038992981743	0.0004156980934648949	0.00047300008827047145	0.0015220700668212193	0.0006868651395222905	0.06487992512184017	0.00015427992644211915	0.0010037464908751127	0.0007413106055689834	0.0012575056793278712	0.3033434131105265	0.0009461227350553536	0.0006895077006914173	0.001493612507270521	0.0010222128437540057	0.0009234865663907685	0.0002479920109041563	0.0003735889530365941	0.0006930165437386978	0.0007671918988889797	0.0007281948056275459	0.000898661412766804	0.0006214081713354845	0.00034684788603438167	0.0004260913252935748	0.001141073392220466	0.0004937293802999866	0.00031074578246022256	0.0008342198347835324	0.0015264984165069483	0.000942625886608028	0.00045053043657960074	0.0031388623152505805	0.0010376785649539775
9395845	0.001053208034595587	0.0008172894670541096	0.09579491808145739	0.000229072123164788	0.0004977211778356579	0.0004828324099715159	0.0007654893219206523	0.003910032941326234	0.0005861454496819105	0.0008055026020802826	0.0007350737318274587	0.0008204199735727492	0.12227892631546901	0.0012620438674313087	0.22934593733401742	0.00041825613801364277	0.0002867112406746093	0.00036819240170352167	0.00041894596401604564	0.0013481289480854225	0.0006083706645349182	0.00032583640482781534	0.00013664892272632852	0.2865873168712776	0.0006565941402273616	0.0011137987965457135	0.0020258108407913604	0.0008380004806439014	0.0006107112356340047	0.0013229234988367663	0.09613815434344762	0.0008179511577410448	0.00021965165473100288	0.00033089546483586137	0.0006138190905149606	0.0006795177371754613	0.0006449772048682183	0.0007959630055720516	0.0005503940735814974	0.00030721034854968134	0.0003773979021583519	0.0010106723110028355	0.000437306326832108	0.0002752339685025078	0.000738885766729172	0.001352051229019601	0.0008349032496282803	0.00039904412864185496	0.13610601828315147	0.0009190933733713013
9405692	0.0010736575079970893	0.0008331582590390366	0.0005730738835870144	0.00023351987150681687	0.07817285187830553	0.0004922072610937703	0.0007803523432930266	0.10106778502915248	0.0005975262646671326	0.0008211425359727416	0.0007493461929494636	0.0008363495486201702	0.3188168056963068	0.0012865481739413474	0.0008026018616476807	0.00042637715256003234	0.00029227813125794834	0.0003753413603877978	0.00042708037247705076	0.0013743047140880567	0.0006201830124415102	0.0003321629639451944	0.00013930214831789838	0.0009063009412174724	0.0006693428128211076	0.0011354247223993202	0.0020651447269225513	0.0008542714052632278	0.0006225690289273228	0.0013486098665941798	0.0009229745467016653	0.0008338327973549852	0.0002239164918035214	0.0003373202525174679	0.0006257372270582693	0.0006927115027334258	0.0006575003187852068	0.4085551182239094	0.00056108072673865	0.00031317525732835893	0.00038472559821503213	0.059279395967875986	0.00044579722683012765	0.0002805780121607421	0.000753232243718667	0.0013783031514671177	0.000851114037274481	0.000406792115769413	0.00283413580672493	0.0009369388273318481
9408106	0.0008847026798985134	0.0006865293066561537	0.0004722176269554432	0.0001924223084110333	0.00041808953730829824	0.00040558286018742805	0.000643016794680019	0.13127843297590522	0.032490860557001296	0.0006766282513210119	0.0006174674699670951	0.000689158955705065	0.05471747793816886	0.017059373334796436	0.0006613505821012374	0.0003513383054723448	0.06423782753213604	0.0003092843899832707	0.00035191776450887205	0.0011324384680353394	0.0005110359393454031	0.00027370503365971283	0.00011478612408008141	0.0007467994826259032	0.000551544022058148	0.0009355993761955115	0.0017016963609699058	0.0007039267140290846	0.0005130020366935401	0.049109006649103275	0.016759785654401577	0.0006870851318158241	0.0001845090439889011	0.016277201664908127	0.0005156126581962264	0.000570800016113192	0.0005417857088789401	0.0006686149184192903	0.04846007611460898	0.0002580590061286628	0.00031701707968433487	0.0008489723517792644	0.14436056345224563	0.00023119860610137808	0.0006206696079898149	0.0011357332135555013	0.048699065964891465	0.00033520007293029767	0.3543187850008395	0.0007720453545635744
9412517	0.0006955279744938089	0.6671817297022131	0.00037124400892994783	0.00015127692213151383	0.0003286900510739405	0.0003188576587876136	0.0005055214355410325	0.027738448244843537	0.00038708454928618543	0.0005319458026063363	0.0004854352862944822	0.0005417970844406141	0.09332992186545452	0.0008334410543818968	0.0005199349354880914	0.00027621213942213775	0.0001893412145945032	0.00024315055237799675	0.0002766676935638118	0.06378104548870835	0.0004017618572458972	0.00021517907879733977	9.024157176801178e-05	0.000587112420144814	0.0004336081547195921	0.000735541503206007	0.02649412695405058	0.0005534070741787458	0.00040330754681740857	0.013451796292453716	0.0005979137780858242	0.0005401667033398062	0.00014505573969337437	0.00021852003105430771	0.012983510885749543	0.00044874666717838326	0.00042593644765435594	0.0005256459491881027	0.00036347470072095416	0.00020287861889730423	0.0002492297721287352	0.0006674378112000442	0.00028879269217847855	0.0001817617396908189	0.0004879527157355768	0.0763617866664003	0.0005513616940220501	0.0002635247220027989	0.001835986543575786	0.0006069600034879014
9465007	0.0007955997064754107	0.0006173853965549866	0.00042465815232001187	0.0001730424645132764	0.0003759815819717868	0.0003647345168589192	0.0005782552542565687	0.08928094390382332	0.0004427778106515212	0.0006084815276084846	0.0005552791339122978	0.0006197502000748395	0.006042957592706832	0.0009533555551282807	0.0005947425513139001	0.0003159532112409005	0.0002165834017887161	0.00027813476264855854	0.00031647430996689104	0.3751032708939549	0.0004595668721024202	0.0002461387869487292	0.00010322542103753867	0.0006715854520089327	0.0004959951767163934	0.0008413703337771219	0.015918189973397372	0.0006330306212319648	0.0004613349536383089	0.000999344396160159	0.0006839408963944123	0.0006178852416938486	0.0001659261857966426	0.0002499604314151887	0.0004636826459743307	0.0005133118002173449	0.00048721967362651514	0.0006012752588253598	0.00041577100535070274	0.00023206855160973647	0.0002850886532563475	0.10147862961970752	0.00033034383886091463	0.00020791340111333328	0.0005581587680864159	0.001021347659354649	0.3027761759209644	0.00030144034339816086	0.08842742750769149	0.0006942886818732653
